DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/13/2019,10:00,,,,,,ELLINGTON PARKWAY               ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Following Too Closely,,,,4206265,Sedan,Sedan,,,
09/13/2019,13:39,,,,,,QUEENSBORO BRIDGE UPPER ROADWAY ,,,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4205809,Box Truck,,,,
09/13/2019,15:30,,,,,,HUTCHINSON RIVER PARKWAY        ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4205200,Sedan,Sedan,,,
09/13/2019,21:15,BROOKLYN,11215,40.67116,-73.97142,POINT (-73.97142 40.67116),,,18        PROSPECT PARK WEST            ,0,0,0,0,0,0,0,0,Unspecified,,,,,4206285,Sedan,,,,
09/13/2019,6:51,,,,,,LIBERTY AVENUE                  ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4205189,Station Wagon/Sport Utility Vehicle,Sedan,,,
09/13/2019,8:15,,,,,,149 AVENUE                      ,NORTH CONDUIT AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4205497,Sedan,Taxi,,,
09/13/2019,9:55,,,,,,L.I.E / G.C.P CDR               ,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4205039,Motorcycle,Sedan,,,
09/12/2019,10:05,,,,,,GOWANUS RAMP                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4205393,Box Truck,Sedan,,,
09/11/2019,15:30,,,40.745823,-73.77242,POINT (-73.77242 40.745823),CLEARVIEW EXPRESSWAY   
09/13/2019,9:55,,,,,,L.I.E / G.C.P CDR               ,,,1,0,0,0,0,0,1,0,Passing or Lane Usage Improper,Unspecified,,,,4205039,Motorcycle,Sedan,,,
09/12/2019,10:05,,,,,,GOWANUS RAMP                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4205393,Box Truck,Sedan,,,
09/11/2019,15:30,,,40.745823,-73.77242,POINT (-73.77242 40.745823),CLEARVIEW EXPRESSWAY   